sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
73e2df76d587860fcee8f725b09c1407.csv,1.9,1.5,1.9,1.9,1.9,1.9,1.9,0.7,1.9,2,0.7
73e3f8459f529a3779bcdd0210616ef0.csv,1.9,1.4,2,1.9,1.9,2,2,0.7,2,2,1.9
73e53d2a1d87d9bf32b9a827c1a08852.csv,1.9,0.8,1.9,2,2,1.9,1.9,0.7,2,2,1.9
73ec5227703a8b997c8df05ff3175650.csv,2,1.5,2,2,1.9,2,1.9,0.5,2,2,1.8
73fb82045a586c66c0bf976a9c051d8e.csv,1.9,1.5,2,2,2,1.2,2,0.9,0.8,2,1.8
740d021537dbfdfedf4d862905347e2c.csv,1.9,1.5,2,2,1.9,1.8,1.9,0.7,1.9,2,1.6
7417b42bc8aef2c5178aedb9ea922b6f.csv,2,1.9,2,2,1.9,1.9,1.9,1.4,2,2,1.8
741b49a063c8f497d614bab10d13efc7.csv,1.9,1.4,2,2,1.9,1.8,2,0.7,2,1.1,1.9
74244435d9445632381661bce69ea720.csv,1.9,1.5,1.9,1.9,1.9,2,2,1.3,2,2,1.9
742586f3d2c55a37545934add195c8d2.csv,2,0.9,1.9,2,1.9,1.5,1.9,0.8,2,1.9,2
74266a156d55c385ab0394605c38feca.csv,1.9,1.5,2,2,2,1.5,2,0.8,1.9,1.2,2
742a3f4c077b5749b5837411addcb746.csv,1.9,1.9,2,1.9,2,1.8,1.9,0.6,0.9,1.9,2
7434e755e462f2ac255bde13f30e8e40.csv,2,1.9,2,1.1,1.9,1.9,2,0.8,2,1.9,1.8
743c00500fab68f0a76727596f41e1e4.csv,1.9,1.9,2,0.5,2,1.8,1.9,0.6,2,1.9,2
743c2e174b33fa2ae31857b4e779b91f.csv,2,1.9,1,1,2,1,2,1.6,2,1,2
743ca5059fd4f78825bec761e9684ea0.csv,2,1.5,1.9,2,2,1,2,0.7,1.9,1.9,1.8
744f26ff885931871182cc0891466d21.csv,1.9,1.9,1.9,1.9,1.9,1,2,0.9,2,2,0.6
7458103f9f1a751cb28eeddf7f06ae08.csv,2,1.5,1.9,0.8,2,2,1.9,0.6,2,1.9,1.9
7458d423b1108834b7a11e712524ff80.csv,1.9,1.8,0.9,2,2,1.9,2,0.6,1.9,2,2
74674318fdb5167703054737c33272f9.csv,1.9,1.8,2,1.9,2,1.9,2,0.7,1.9,0.7,2
74679bd0dfa8240a02aae0b711602224.csv,1.9,1.4,1.9,0.9,1.9,2,2,0.7,2,2,1.9
7469816f02ca1656182468ba8bd69c8f.csv,2,1.5,2,1.9,1.9,1,2,0.9,1.9,1.9,0.8
746a7e0d403213e5266236330c285486.csv,1.9,1.5,2,2,1.8,1.8,1.9,0.6,1.9,2,2
746e780b930b5df94f6328a3e77a001a.csv,2,1.4,1.9,1.9,1.9,2,2,0.6,2,1.9,2
746fbc41dd859cd9bd1245f26772ef00.csv,0.5,1.5,2,2,1.9,2,1.8,0.6,1.8,2,2
74703ef41adeecd23043720a6050f4d4.csv,2,1.9,0.8,2,2,1.5,1.9,0.8,2,2,1.9
747191c380ff27e9c9c43dbf28e672ee.csv,2,1.9,1.9,2,2,1.9,1.7,0.5,2,1.9,2
