sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
4c2d9c217856436045ef1009b287bb74.csv,1.9,1.9,2,2,2,1.2,2,0.6,2,2,2
4c2e8c5c3aaa7048d807e885fdade4ef.csv,2,1.7,1,1,2,1,2,0.8,2,2,2
4c30bf695703d8b5fe44b36a6b2f3a30.csv,2,1.9,1.9,1.9,1.9,1.9,1.9,0.5,1.9,1.9,2
4c33618adf998ee8581f1404d877cd96.csv,2,1.5,2,2,1.9,2,1.9,1.3,2,2,1.8
4c35eb7a05d4ef6730f4e48a1d144497.csv,1.9,1.9,2,1,2,1.8,1.9,0.6,2,1.9,2
4c384c99f5418bb59671fe7a92e91171.csv,1.9,1.5,2,2,2,1.2,2,0.9,2,2,0.7
4c3aab5468f1e80cbd89b81f7513dfb7.csv,1.9,1.5,2,2,1.9,2,1.9,1.7,1.9,2,1.9
4c3d5818d851a92240bba13127dcbde2.csv,1.9,1.9,1.9,2,2,0.9,2,0.7,1.9,1.9,1.8
4c4b44eafed03fc39fde8e5eb53466d6.csv,2,1.7,1.9,1.9,1.9,2,1.9,0.5,2,1.9,2
4c57105015da1eba63624d0939d8c2c0.csv,1.9,1.5,2,2,1.9,1.5,1.9,0.7,2,1.9,2
4c5c359bea9df4367e73371aefb86687.csv,2,1.9,1.5,2,2,1.9,1.9,0.7,1.9,2,1.8
4c6000317d920b24aacd6d95e6db764e.csv,1.9,1.9,2,0.6,1.9,2,1.9,0.8,1.9,2,1.7
4c6b7512a2f93d8b549006e0197abfa1.csv,1.9,1.4,1.9,2,2,2,2,0.8,2,2,1.9
4c6e89e52c7343f57e1afddc7fdb975a.csv,1.9,1.5,2,1.9,2,2,1.8,0.6,1.8,1.9,0.5
4c76513249e11dcfbc3f23c59152933f.csv,1.6,1.4,2,2,1.9,2,1.8,0.7,1.8,1.9,2
4c822b1527eb4cb7af3dd09bae2b7df6.csv,2,1.5,1.9,2,1.9,0.6,1.9,0.7,2,2,1.9
4c852626e1b3abc47728cc472eef88b0.csv,1.9,1.5,1.9,2,2,1.3,1.9,0.8,1.9,2,2
4c881f03b51b2bf185bf64cce2b3d53c.csv,1.9,1.9,1.9,2,2,2,2,0.7,2,2,1.6
4c9166de667f03b21c7219aedfbcaa05.csv,1.9,1.9,1.9,2,1.1,2,2,0.7,2,1.9,1.8
4c9309e75af53a899f8310d98ead30bc.csv,1.9,1.9,2,1.9,1.9,2,0.8,0.8,1.9,2,1.7
4c9b625a90b4bebce65747e8f85150d2.csv,2,1.5,1.9,2,2,0.5,1.9,0.7,2,1.9,2
4c9da1b36594175f45b5838eaecadace.csv,1.9,1.8,1.9,1,1.9,1.9,2,0.6,1.9,1.9,2
4cab9801a058d5af9fd3f0ee5ab6d3e6.csv,2,1.8,2,1.9,0.5,1.8,1.9,0.7,1.9,2,1.9
