sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
5b7f07d3d5f8cfd2d8a742d8e1104c8f.csv,1.9,1.9,2,2,1.9,2,2,0.7,2,1,1.9
5b87341a63c19f79cf85a99143a05172.csv,2,1.5,1,2,1.9,1.5,1.9,0.8,2,1.9,2
5b8758ac418ea755554cab6a8b22b92e.csv,1.9,1.4,0.9,2,2,1.5,2,0.8,2,2,2
5b87df32a9b6527c2875a154a1a03ead.csv,1.5,1.5,2,1.9,1.9,1.9,1.9,0.6,1.9,2,2
5b885d5aeeaae6a870d5d711a77bac32.csv,2,1.5,1.9,1.9,1.9,1.9,1.4,0.7,2,2,1.8
5b91d0d6a8eedf05c176d84d2ff4f8d1.csv,1.9,0.5,2,2,1.9,1.9,1.9,0.7,1.9,1.9,1.9
5b93d820189d4791b47683caf4abc358.csv,1.9,1.5,1.9,2,1.9,0.7,2,0.8,2,2,2
5b96e0195e5b602f4ecedd79549bb704.csv,1.9,1.5,1.9,2,1.9,1.8,1.9,1.8,2,2,2
5b986dc81b6435ac98e71b8e3bd1ad3e.csv,1.9,1.9,1.9,2,2,2,2,0.6,1.4,2,1.9
5ba01aefe6fe84ee910e928a5a6ef561.csv,2,1.5,2,1.9,2,1.5,2,1.2,2,1.9,2
5ba3846f95830a0b620f7a6e2cf7b769.csv,2,1,1.9,2,1.9,1.9,2,0.7,2,2,1.9
5ba3cf6186d65f388761179baf390fa3.csv,2,1.1,2,1.9,1.9,1,2,0.9,1.9,1.9,1.9
5ba5d53f2534883149584f577243913a.csv,1.9,1.9,2,2,2,1.9,2,0.6,2,2,1.2
5ba67bf61ae370c146ee9629e8532d45.csv,1.9,1.5,1.9,1.9,1.9,2,2,1.7,1.9,2,1.9
5baf6fadcbe589fb884300bc6977516b.csv,1.9,1.5,1.2,2,2,1.8,1.9,0.7,1.9,1.9,1.9
5bb424dd5250feb2601d2ee1b7620c8b.csv,1.9,1.5,1.9,1,1.9,2,1.9,0.7,2,2,1.9
5bba3b1a48ba54e878f026e15b931589.csv,1.9,0.5,2,1.9,1.9,1.8,2,0.7,2,2,2
5bbfab46abd619e1cf8b6034ffc7a03b.csv,2,0.6,2,2,1.9,2,1.9,0.7,1.9,1.9,1.9
5bc9a06fe9244ca4899c97ff9e478ab7.csv,2,1.9,1.9,2,0.6,2,1.9,0.6,2,1.9,2
5bcb86bd85136695f47a6fdfe25d3b0c.csv,2,1.9,2,0.5,1.9,1.9,2,0.7,1.9,1.9,1.9
5bdd742ad1a6d9efafacaa436b55c4d0.csv,1.9,1.9,1.9,2,0.6,2,2,0.7,2,1.9,1.8
5be16a77a7a4d96ac2690b5bcb930e30.csv,2,1.5,1.9,2,1.9,1.9,2,0.6,2,1.9,1.6
5bec5b6ee81358af613f9399694c4ebe.csv,2,1.9,1.9,1.9,1.8,1.9,1.9,0.5,2,1.9,2
5bf862cc187a9a4b231e05c373e6dc01.csv,2,1.9,1.9,2,1,1.9,1.9,0.7,1.9,2,1.9
5c06d2d60a047bd4101554fa5e847180.csv,2,1.9,2,2,0.6,1.9,2,0.5,2,1.9,2
5c16dc32bcaa94fdde518b58d88eadea.csv,2,1.8,2,1.9,1.9,1.8,1.9,1.6,1.9,2,1.9
5c1cb351fda1708c2ed223979cdd1b5c.csv,1.9,1.9,2,1.9,2,1,1.6,0.9,1.9,1.9,1.9
5c1cc128cabfbc19c10da5297c2d2b33.csv,1.9,1.4,1,2,2,1.6,2,0.8,2,2,2
5c25a55bb2a81718cd13a1f6eb2c615f.csv,1.9,1.9,2,2,2,1.8,1.9,0.6,2,1.9,1.8
5c27db1214a9776c934e754cf79a4a55.csv,2,1.5,2,2,2,1,2,0.8,2,2,1.1
5c39402a28d3c19479959f751ceb88ae.csv,2,1.9,2,2,1.9,1.9,2,0.8,2,1.1,1.8
5c3a9c80da2a13f276bddc689552588f.csv,2,1.9,1.9,2,2,1,2,0.8,2,1.4,2
5c445b23b2723c9d60de648c3f93d6c3.csv,2,1.8,1.9,2,2,1.9,1.9,0.6,2,2,1.9
5c4dc8ab2de7aab001fb2d892bd98f15.csv,1.9,0.8,2,2,2,1.9,2,0.7,1.9,1.9,2
5c5b42706f58593904a495f64ba642ce.csv,2,1.7,1.9,2,2,2,1.9,0.6,2,1.9,2
5c5d0dc737610fc60a58b504d987afc8.csv,1.9,1.9,2,2,2,1.9,1.9,0.7,1.9,2,0.8
5c605b385129e762033817c0cec8d9a1.csv,2,1.5,2,1.9,1.9,1,2,0.7,1.9,1.9,2
5c6949b0458000074034e974dbd1d794.csv,1.9,1.5,2,1.9,0.7,1.9,2,0.6,1.9,2,1.9
5c7164d70d6177f6c4a8686ee2bef29f.csv,1.9,1.5,2,2,1.9,1,1.9,0.6,1.9,2,1.9
5c766f7055063063ab4ee0aeaaf66b29.csv,0.9,1.5,2,2,1.9,2,1.8,0.7,1.8,2,2
5c7680e869fc9c4ae835d869cf88658d.csv,2,1.2,2,1.9,1.9,1.4,2,0.8,2,1.9,2
5c78a60651dd1472d36185ae123b434c.csv,1.9,1.9,1.8,2,1.9,1.1,1.9,0.8,1.9,1.9,1.8
5c825ea53ce7776e3826d6ba36e9ad99.csv,1.9,1.4,2,1.9,1.4,1.8,2,0.7,2,2,1.9
5c8a785cb33a4706e3d2acd035dafef5.csv,2,1.5,1.9,2,1.9,2,1.9,0.6,1.6,1.9,1.9
5c931d06e95bd0ef8b4230e82cdd48c9.csv,2,1.5,1.9,2,1.9,1.9,2,0.6,2,1.9,0.9
5c9b1894fe29cf60404eae26a1446a8e.csv,1.9,1.5,1.9,1.8,2,1.2,2,0.8,2,2,2
5c9bd74c133f2be967fa1cb539cb08ae.csv,1.9,1.5,2,2,1.9,1.8,2,0.7,1.9,2,2
5c9c9d3ff1a85eb1099cb3ad06020fa4.csv,2,1,2,1.9,1.9,1.4,2,0.8,2,1.9,2
5ca4bf060e31f61580bc0cc180045f99.csv,2,1.5,2,1.9,2,1.4,1.7,0.8,2,1.9,2
5ca8c543df4e520ac7ca791a505112cf.csv,1.9,1.9,1.6,1.9,2,1,1.9,0.9,1.9,2,1.9
5cace01fd8837921068ffd7b5a8a7263.csv,1.9,1.9,1.9,2,2,2,2,0.7,2,2,1.2
5cb235e01185a5598837c3330c3933a0.csv,2,1.9,2,2,1.9,1.9,2,0.8,2,1,1.8
5cccb54994d2c1fa82419e4c17b80617.csv,1.9,1.5,0.8,1.9,1.9,1.8,1.9,0.7,1.9,2,2
5ce2f18ddcf7bb0921a8c3699b35cb1a.csv,1.9,1.9,1.9,2,2,2,2,0.7,2,2,1.4
