sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
958e29a1dae4b5a3f920f4fa37b46eac.csv,2,1.9,1.9,2,1.9,1.6,2,0.6,2,2,2
9592687b4813ef449b10e170b7458ebb.csv,2,1.5,1.9,2,2,1.6,1.8,0.8,2,2,0.7
95a6387ff5d4693c0b20c2ad752d89aa.csv,1.9,1.5,2,2,1.9,1.9,2,0.6,2,1.9,2
95afb6aa049e29b1e3a64135459623e6.csv,1.9,1.8,1.9,2,0.8,1.9,2,0.6,1.9,2,2
95b6cb99b5328a827953156bd70c14c0.csv,2,1.9,0.7,2,2,1.8,1.9,0.7,2,2,1.8
95bc715724c953363093eaf54c5f1649.csv,1.9,1.5,2,2,2,0.5,1.9,0.7,2,2,2
95bc915ff775bab3c1ec426c50c167ed.csv,1.9,1.5,2,1.9,1.9,1.9,2,0.6,1,1.9,1.9
95c2877b9061c0549d7ca1b336c19e56.csv,2,1.5,2,2,1.9,2,1.8,0.7,1.8,2,0.8
95cfceec63cd9aaa6095933a8fd336e8.csv,1.9,1.5,2,2,1.9,2,2,0.6,2,1.9,0.7
95da53d8739c31c6c59d9b76d70c5c2b.csv,1.9,1.9,1.5,1.9,2,1,1.9,0.9,1.9,2,1.9
95dd566967ec1f80b65c6f6f7f94405a.csv,2,1.9,1.8,2,2,1.9,2,0.5,2,2,2
95dd8fa6d025531f6df78bfe450b72f5.csv,1.9,1.9,2,1.9,1.9,2,1.8,0.6,1.8,2,2
95e8387b367032efb3fa239bec2f1ccc.csv,1.9,1.9,2,1.5,1.9,2,2,0.6,2,1.9,1.9
95f23a96c70bb8a75d5cf6cfe593bb9d.csv,1.9,1.5,0.7,2,1.9,1.8,1.9,0.6,1.9,2,2
95f258960dd126819bb684cd2ed2e400.csv,1.9,1.5,1,2,2,1,2,1,2,1.9,1.8
95f583012bee3b5623cad04ee660b5c4.csv,1.9,1.7,2,1.9,1.9,1.8,1.9,0.7,2,2,2
95f82111940d8f7ff716a85589f2be9d.csv,1.9,1.5,1.9,1.9,1.9,2,1.9,0.7,1.3,2,2
95f9c32f24d9ead97761ec2f665e311e.csv,2,1.5,1.9,2,2,1.6,0.7,0.8,2,2,2
