sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
808c6e10bcb42f92f98189849a1f9b30.csv,2,1.8,1.9,1.9,1.9,2,2,0.6,1.7,1.9,2
8090d1111f318983d9ddff6db7fb0bf9.csv,1.9,1.5,2,1.9,1.9,1.8,1.4,0.7,2,2,2
8091da0fb2bb7f6951e1b71ab5865aa3.csv,2,1.9,2,2,1.3,1.9,2,0.5,2,1.9,2
809b9e7fe994e6a3cd0faee588ef254f.csv,1.9,1.5,2,2,1.9,1.8,1.2,0.7,1.9,2,2
809dcb1e7afe3e463768706b1969b447.csv,1.9,1.8,2,1,2,1.9,2,0.7,1.9,2,2
809e2bb23bc8fcce1421c8cdff7056e3.csv,1.9,1.5,2,1.9,1.9,1.5,1.9,0.6,2,1.9,1.9
80a18392a75b6f947aee4be03c634b42.csv,2,1.5,2,2,2,1,2,0.8,2,2,1.2
80a8cc887e3e6d849df1ecd4682d18b9.csv,1.9,1.5,1.9,1.9,1.9,2,1.9,0.7,0.9,2,2
80b4287d21697c111b41d6d17cd056b9.csv,2,1.5,1.9,2,1.9,1.5,0.5,0.8,2,2,2
80b73fe64a15f8baff56fcbed6bd668e.csv,2,1.5,2,1.9,1.9,1.9,1.9,0.6,0.7,2,2
80bad85e7d662f46b293752619d57eee.csv,1.9,1.3,1.9,1.9,1.9,2,2,0.7,1.9,2,1.9
80dbe996d4b39593436fa63240d3b930.csv,1.9,1.2,1.9,1.9,1.9,2,2,0.7,2,2,1.9
80dea87ce35b2180cf36615c8b765e06.csv,0.7,1.5,1.9,1.9,2,1.9,1.9,0.7,2,2,1.9
80ee0f364edfecefd62efb0339c364ca.csv,2,1.5,1,2,2,1,2,0.6,2,1.9,2
80fa52ca376976ec4f381c69ebda1a78.csv,1.9,1.5,1.1,2,1.9,1.8,1.9,0.6,1.9,2,2
80feb06683e75155502ef98b83ec05ca.csv,1.9,1.5,2,1.4,1.9,1.8,1.9,0.7,1.9,2,2
8102787f8a2eba1c416be976b93cf4f2.csv,1.9,1.5,1.5,2,1.9,2,1.9,0.6,2,1.9,2
810471e446f7ae5cc9e0acbc40eee9af.csv,2,1.9,2,1.9,1.9,1.9,2,0.7,0.5,2,1.9
8111ff3937edb7c24df6062317f3555e.csv,2,1.5,1.9,2,2,1.7,2,0.6,1.9,2,2
81181a79564c0d6d2c2d028079e1537d.csv,2,1.9,2,2,1.5,2,2,0.7,1.9,1.9,1.8
811defa5cc44e5598133b6e2822d8338.csv,1.9,1.9,1.9,1.9,1.9,1,0.7,0.9,2,2,1.9
8128ae15e624ccd7b99701e18cdaf877.csv,2,0.6,1,1,2,1,2,0.8,2,2,2
8132705556c04c82ef9f4e7a5bfc5f24.csv,1.9,1.5,1.9,1.9,1.9,1.9,2,0.6,1.9,1.7,1.9
813ae6e9a69ac4e05b06a744fb9b81a4.csv,1.8,1.9,1.8,2,1.9,1.9,1.9,0.8,1.9,1.9,1.8
814398d9331665d5c533bdd84925ffc6.csv,2,1.5,1.9,0.5,2,2,1.9,0.6,2,1.9,1.9
8152b7b5246a5ff7de2a8093ebccdaa5.csv,2,1.9,1.9,2,2,1.9,1.9,0.7,1.9,2,1.9
81564dff49656a7e1c7bcba9b7fbfcc2.csv,2,1.5,1,2,2,1,2,1.6,2,1.9,2
815be30321f91bb0b9db8198c219d769.csv,1.9,1.5,2,1.9,1,1.9,2,0.6,1.9,2,1.9
81647bde5657961d546911319fb0bdbd.csv,1.9,1.5,1.9,1.9,2,2,2,0.7,1.7,2,1.9
8165f9b5cb3c60615e95d6dcd558af92.csv,1.9,1.5,2,1.9,1.9,1.8,1.9,0.7,2,2,0.8
816677b472974e5faefb53e749be5257.csv,1.2,1.9,1.9,2,1.9,2,2,0.7,2,1.9,1.9
8178e8b26623a6970339e39ac901aed4.csv,1.9,1.4,2,2,2,0.7,2,0.8,2,2,2
817acc1a1440a63c52034481c515a0ca.csv,1.9,1.7,2,1.9,1.9,1.8,2,0.7,2,2,2
818bf70804c4f45dc7f9ee2629bf8c1b.csv,1.1,1.5,2,2,2,2,1.9,0.7,1.9,1.9,1.9
818dc697e94a119c136b0de8e8cfc81a.csv,1.9,1.5,2,0.8,1.9,2,1.9,0.7,1.9,2,1.9
8193d993cb436de57e2dc6d02fc8f0f4.csv,1.9,1.5,1.9,2,2,1.5,1.9,1.1,1.9,1.9,2
81959fdc7e8291db9afb5c459e36138c.csv,1.9,1.5,2,1.9,1.9,1.8,1.9,1.4,2,2,2
8198fd927e36211689105e2a6519da4c.csv,2,1.5,2,2,1.9,1.5,1,0.8,2,1.9,2
819ad9197ca50cd2f46e4155780aea6e.csv,2,1.5,2,1.9,1.9,1.4,1.9,0.8,2,0.8,2
819c7e8ec2eb1f28b633aae980ec222f.csv,1.9,1.9,2,2,2,0.5,1.9,0.8,1.9,1.9,1.8
819d4d9603a1e66ed39991a54fa38d23.csv,2,1.8,2,1.9,2,1.9,1.9,0.7,1.9,0.9,2
81a411fd2eb0acf023a86558d6f72694.csv,1.9,1.5,1.9,2,2,1.5,1.9,0.7,1.9,1.9,2
81a4d7ec2746c0604297c45f7ed71ffa.csv,2,1.5,1,1,2,1,2,0.8,1.4,2,2
81a8a3bdf25c8d18625bfcf6fe077a37.csv,2,1.9,2,2,1.9,2,2,0.7,1.7,1.9,1.9
81ab5b568c1b0c6a36ab1ffaed608fcb.csv,2,1.5,2,2,1.9,2,1.8,0.6,1.8,2,0.7
