sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
b894123603aa0fea90d8ae6c044f9cf0.csv,2,1.8,2,1.9,2,1.5,1.9,0.7,1.9,1.9,2
b89e6c9d682de84848e1092f625b145d.csv,2,1.9,1.9,2,2,1,2,0.8,2,1.7,2
b89e9fbced100abbc012a29199de5a55.csv,1.9,1.8,2,1.9,2,1.9,2,0.6,1.9,2,1.9
b8a775dee5a092306162f90a7f476c5a.csv,2,1.9,1.9,0.6,2,1.9,1.9,0.6,2,2,1.9
b8aba3fd1ef1a6fcafd7e606404168f2.csv,1.9,1.8,2,2,0.7,1.9,2,0.7,1.9,1.9,2
b8cba869d80d013b4ad2119e432dc6e4.csv,1.9,1.5,2,2,1.9,2,1.4,0.7,2,1.9,1.9
b8dede4c89b40a72a9f6c35497abc1b1.csv,0.5,1.5,1.9,2,2,1.6,1.9,0.8,2,2,2
b8f0cb4e800ab3908c6c084b7c80d07f.csv,2,1.9,1.9,2,1.9,2,2,0.7,1.9,2,0.9
b8fddb31ab52aa665b9311222a0353b0.csv,2,0.9,1.9,2,2,1.9,2,0.6,1.9,2,2
b9024bda81508f749c23b8abfbac5d5a.csv,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.9,1.9,2,1.9
b90f4af51fbb2ac43c4e40efae02b5dd.csv,1.6,1.5,1.9,1.9,2,1.9,1.9,0.7,2,2,1.8
b91c5dddc4d358bbd2902c7b7b202fa8.csv,0.5,1.4,2,2,1.9,2,1.8,0.7,1.8,1.9,2
b92c8828289f52695f890eb64c6e0e96.csv,1.9,1.9,1.9,1.9,1.9,1.8,1.9,0.7,1.9,1.7,2
b92cf4f38b155237471e5bc55ca39d15.csv,2,0.7,1.9,2,2,1.5,1.9,0.7,2,2,1.9
b930fa1f9af86cda0fdeed7abd78f16b.csv,1.9,1.4,2,2,1.9,1.8,2,0.7,2,1.5,1.9
b93b5ae9d7b198e6dcf97f5bf0814b47.csv,2,1.5,1.9,2,1.9,2,1.9,0.6,1.4,1.9,1.9
b93e0ca473c66bb7f610cd66c1a0d2ac.csv,1.9,1.5,1.9,1.9,2,2,1.9,0.7,1.8,2,1.8
b93f22772ecaba5d0773c68432c767c7.csv,1.9,1.5,1.9,2,1.9,1.5,2,0.8,2,1.7,2
b9426f6e22dbe4db6fc887c168269166.csv,2,1.5,1.9,1.9,1.9,2,2,0.7,1.4,2,1.8
b94602bcdff2c9cded3133355e079e04.csv,1.9,1.5,1.9,2,1.9,1.9,1.9,0.7,1.9,1.4,2
b94f092f6f3fd78d375e2f5f83b48097.csv,1.9,1.9,1.8,2,1.9,2,1.9,0.8,1.9,1,1.8
b94ff8e2919768cb05703bbc3fde867c.csv,0.9,1,1,1,2,1,2,1,1.9,1,2
b950cffd87a4a8779b30d0badfc20066.csv,1.9,1.8,1.7,2,2,1.9,2,0.6,1.9,2,2
b95f322731e67027a54c38fa10ea1299.csv,1.9,1,2,2,2,1.9,2,0.7,1.9,1.9,2
b97a94a09c8ba60db5a4dd55a3812370.csv,2,1.5,1.9,1.9,1.9,2,1.9,0.6,0.6,1.9,2
b97e8b471e05d2100b2b17eb013801f3.csv,1.9,1.9,2,2,2,2,1.9,1.3,1.9,1.9,1.8
b97f67eb58108c398283d0c4bc9c7092.csv,1.9,1.5,1.9,2,2,1.5,1.9,0.8,1.9,1.1,2
b9842f74d396ebf62e1b134e5cd171a7.csv,2,1.9,1.9,1.9,0.9,1.9,1.9,0.5,2,1.9,2
b9877e9a44f2d115abe3fc7a2d3957e7.csv,2,1.9,2,1.9,1.9,1.9,2,0.7,1.9,1.9,1.9
b98f04ab806f184e7758a48801bd0f16.csv,2,1.9,1.5,2,2,1,2,0.8,2,1.9,2
b993b239a91067a4f46ac8e5eb7efae7.csv,1.9,1.5,2,2,1.9,1.8,2,0.7,1.9,0.8,2
b994d097f286468a6ad3b7d9ae8a7d2e.csv,2,1.9,2,2,1.9,1.9,1.2,0.8,2,2,1.8
b9960038334e444c83dbfff9d8023da3.csv,2,1.5,2,1.9,2,2,1.8,1.8,1.8,1.9,1.9
b99fa51327b7310f4efdd93bf93758c2.csv,1.9,2,1.9,2,1.9,1.9,2,0.5,1.9,1.9,2
b9ae8e657d1295e0fe78771b7ec4c75a.csv,2,1.2,2,2,2,1,2,0.8,2,1.9,2
b9b144edf26f67ce53db14e272e7d48e.csv,1.9,0.5,2,1.9,1.9,1.8,1.9,0.7,1.9,1.9,2
b9c209929e38a3ff66d3b38471ec10b7.csv,1.9,1.9,2,1.5,2,1.8,1.9,0.6,1.9,1.9,2
b9cb130a91c461bd121a4bdc1594cdff.csv,1.9,1.5,2,2,1.9,2,1.9,1.1,1.9,2,1.9
