sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
97d7dbabb09f7771cc4232fc8e6f7e1f.csv,2,1.5,1.9,2,1.6,2,1.9,0.6,2,1.9,1.9
97df75cfba72cac863e2c812f829c85f.csv,2,1.9,1.9,0.6,1.9,2,2,0.6,2,1.9,2
97e1a7dfba2bcdb0e649870549a3527b.csv,2,1.9,1,1.9,1.9,2,2,0.6,2,1.9,2
97e1c1d6c6154abe8fe09e7dcbddaea0.csv,1.9,1.5,2,2,1.9,1.9,2,0.6,2,1.9,0.5
97f0da6e8bb8aeb10296d7b00fc06d73.csv,2,1.9,2,2,2,1.9,2,0.5,2,1.9,1
97f47659803a4bdf6aad7b34677f23ed.csv,2,1.9,1.9,2,1.9,1.9,1.9,0.6,1.9,0.5,1.9
97f4b25c912ce381b09320f8a3bb2e7e.csv,1.8,1.5,2,1.9,1.9,1.8,1.9,0.7,1.9,2,2
97fad3d09ee171f5bcb394898a37190b.csv,1.9,1.9,1.7,1.9,1.9,2,1.9,0.5,1.9,1.9,2
9807e773e5400edf69e56046f2c6acc6.csv,1.9,1.5,0.8,2,1.9,1.9,1.9,0.7,2,1.9,2
980bab7f5949ac45356a9ba1449b4744.csv,1.9,1.9,1.9,2,1.8,2,2,0.7,2,1.9,1.8
9815c0c3178eebcf5920b5defc62df2a.csv,1.9,1.5,1.9,1.9,2,2,2,0.7,0.6,2,1.9
9817351723d5ab8f369533e3b1366a1b.csv,2,1.9,2,2,2,1.9,1.9,0.7,1.9,2,1.8
9818a5ca7f0444dd849ffc97e4741a30.csv,1.9,1.5,2,2,2,2,1,0.7,1.8,1.9,2
981b800a48512aeb7abccb466f6d4b79.csv,2,1.5,1,2,2,1,1.9,1.2,1.9,1.9,2
981ba91816cf81980a5878fd5e91f93a.csv,1.9,1.9,2,2,2,2,2,0.6,2,2,0.6
981ce0ed864621a1b364d02c9a61b8d3.csv,2,1.9,2,2,2,1.9,1.9,0.7,1.9,1.9,0.5
981ebf1c4715443746b1c4cc511983b8.csv,1.9,1.9,2,2,1.2,2,2,0.7,2,1.9,1.9
9826654bd0d43a43155a98993c545a85.csv,1.9,1.5,2,2,1.9,2,1.9,0.7,2,0.8,1.9
982e748e4de28e40b208f5bc5e6525df.csv,1.9,1.5,1.9,2,2,0.7,1.9,0.7,1.9,1.9,1.9
98333befc505190d9c67e8440355f741.csv,2,1.9,2,1.9,1.4,1.9,1.9,0.6,2,2,2
9838ea2efda65fcef5098acfa74146d6.csv,1.9,1.5,2,2,1.4,2,1.9,0.7,1.9,1.9,1.9
9854af60b2deae788e0ebbaf9c555962.csv,2,1.5,2,2,1.9,1.5,2,0.8,1.9,2,1.4
985fbd6d35055cde9afb6cc4750467c3.csv,2,1.9,1.2,2,1.9,2,1.9,0.6,1.9,1.9,1.9
9864a126f87fcceb44612d1b2a896642.csv,2,1.9,2,2,1.9,0.9,1.9,0.8,2,2,1.8
9866f427a8b0b66849de4f594f17ede7.csv,2,1.5,2,2,1.9,2,1.8,0.7,1.8,2,1
986a80da77ea6d8cb302dfc5aa421b6f.csv,1.9,1.8,2,2,2,1.8,1.9,0.6,2,2,1.9
986cfab10ff617fedc5b559d58c04aab.csv,2,0.7,1.9,1.9,2,2,2,0.7,1.9,2,1.9
987715d53161dd0818852e080ff49639.csv,0.7,1.9,1.9,1.9,1.9,1.9,1.9,0.5,1.9,1.9,2
987de952da9b2fbb4522b38034d09f89.csv,1.9,1.5,2,2,1.9,1.5,2,0.8,2,2,2
988579a4c0c928a810816410535ffcab.csv,1.9,1.5,2,1.7,2,1.8,1.9,0.6,2,2,2
98867a5133cae1a1287a5b88b4167355.csv,1.9,1.5,2,2,2,1.2,2,0.9,1,2,1.8
989f368f211bc731ab2bfdc5666881f1.csv,1.9,1.9,2,2,1.9,2,2,0.7,2,0.9,1.9
98b58baf79d288265e9ec2eef79e0d4a.csv,1.9,1.9,1.6,1.9,1.9,1.9,1.9,0.5,1.9,1.9,2
98b9710464e96d8889e2fcfeba828330.csv,1.9,1.5,2,2,1.9,2,1.9,0.7,1.6,1.9,1.9
98b9b99854412141ba4e4828f4f82639.csv,1.9,1.5,2,2,1.9,2,1.9,1.3,1.9,2,1.9
98c1b59a3efda83da1170536185f5042.csv,1.9,1.5,2,1.9,0.5,2,1.8,0.6,1.8,1.9,2
98c4bbf43db5d8001877778660b12715.csv,2,1.5,1.9,1.9,0.6,2,2,0.7,1.9,2,1.8
98c74c21eec76d2dad4d0de9822cddd3.csv,1.9,1.4,1.9,2,1.9,1.7,2,0.7,2,2,1.9
98cc9bca641d6409be5a7af418536529.csv,2,0.8,2,1.9,1.9,1.4,2,0.8,2,1.9,2
98cd24b12b2918c7ea292b59208ee125.csv,1.9,1.5,1.8,2,2,1.8,1.9,0.6,2,2,2
98cda9b5730543fdab0b15a7a4e05e74.csv,2,1.5,2,1.9,2,1.9,1.9,0.6,1.9,1.1,2
98da4932cd3ade9d4e842a7ed8dd95c9.csv,1.9,1.5,2,2,1.6,2,1.9,0.6,2,1.9,2
98dee9cfd58675a87a0e4c10d08f17d9.csv,1.9,1.9,0.9,2,1.9,2,1.9,0.8,2,2,1.7
98df7916baa9a3ef9d43fbbd38d64f28.csv,2,1.5,0.9,2,1.9,1.5,2,0.8,2,1.9,2
98e472b10504b5beca7f21bda949d8b1.csv,1.9,1.5,2,2,1.9,1.8,1.9,0.7,2,2,1.3
99000c20fd258553a91c588b1ed639af.csv,1.1,1.5,2,2,1.9,1.8,1.9,0.7,1.9,2,2
