sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
5b3a9da68bcff7507ad74b85eeb5d753.csv,1.9,1.5,2,2,2,2,1.9,0.7,1.9,1.9,2
5b4d0b090dde0a8fab7b729992270f2a.csv,1.2,1.9,1.9,2,1.9,2,2,0.7,2,1.9,1.8
5b4dab505ea2c37efcf1c8c8d99d81a2.csv,2,1.9,2,1.9,1.9,2,2,0.8,0.6,2,1.7
5b553ad212305c1c8dd1c127234a5308.csv,2,1.8,2,1.9,1.9,1.9,1.9,0.7,1.9,2,2
5b5f5f63e49e254b254d289a76947f91.csv,2,1.9,2,0.5,2,1.9,1.9,0.8,2,2,1.8
5b620ff0f8a6e2dfa0801ad50c1e1117.csv,2,0.7,1.9,1.9,1.9,2,2,0.6,2,1.9,2
5b67f874d28e0fa4c349a75bd8f7d2f5.csv,1.8,1.5,2,2,2,1.8,1.9,0.7,1.9,1.9,1.9
5b688231110f1b3929e3cbc1e5775011.csv,2,1.5,1.9,1.8,1.9,2,1.9,0.6,2,1.9,1.9
5b6b8986e34ea3e6f37c4dd79e088db0.csv,2,1.3,1.9,2,2,1.9,1.9,0.6,2,2,1.9
5b75c37654847630765d71cd10702703.csv,2,1.5,1.9,2,1.9,2,1.9,0.6,0.9,1.9,1.9
5b7b106326c21ad05c7f2ded785ac410.csv,2,1.9,2,1.9,1.9,2,2,0.8,2,1.5,1.7
5b7ccf5c3cc9cf9f07ce07a0c278425d.csv,1.9,1.5,1.9,2,2,1.2,2,0.8,2,2,0.9
5b7f07d3d5f8cfd2d8a742d8e1104c8f.csv,1.9,1.9,2,2,1.9,2,2,0.7,2,1,1.9
5b87341a63c19f79cf85a99143a05172.csv,2,1.5,1,2,1.9,1.5,1.9,0.8,2,1.9,2
5b8758ac418ea755554cab6a8b22b92e.csv,1.9,1.4,0.9,2,2,1.5,2,0.8,2,2,2
5b87df32a9b6527c2875a154a1a03ead.csv,1.5,1.5,2,1.9,1.9,1.9,1.9,0.6,1.9,2,2
5b885d5aeeaae6a870d5d711a77bac32.csv,2,1.5,1.9,1.9,1.9,1.9,1.4,0.7,2,2,1.8
5b91d0d6a8eedf05c176d84d2ff4f8d1.csv,1.9,0.5,2,2,1.9,1.9,1.9,0.7,1.9,1.9,1.9
5b93d820189d4791b47683caf4abc358.csv,1.9,1.5,1.9,2,1.9,0.7,2,0.8,2,2,2
5b96e0195e5b602f4ecedd79549bb704.csv,1.9,1.5,1.9,2,1.9,1.8,1.9,1.8,2,2,2
5b986dc81b6435ac98e71b8e3bd1ad3e.csv,1.9,1.9,1.9,2,2,2,2,0.6,1.4,2,1.9
5ba01aefe6fe84ee910e928a5a6ef561.csv,2,1.5,2,1.9,2,1.5,2,1.2,2,1.9,2
5ba3846f95830a0b620f7a6e2cf7b769.csv,2,1,1.9,2,1.9,1.9,2,0.7,2,2,1.9
5ba3cf6186d65f388761179baf390fa3.csv,2,1.1,2,1.9,1.9,1,2,0.9,1.9,1.9,1.9
5ba5d53f2534883149584f577243913a.csv,1.9,1.9,2,2,2,1.9,2,0.6,2,2,1.2
5ba67bf61ae370c146ee9629e8532d45.csv,1.9,1.5,1.9,1.9,1.9,2,2,1.7,1.9,2,1.9
5baf6fadcbe589fb884300bc6977516b.csv,1.9,1.5,1.2,2,2,1.8,1.9,0.7,1.9,1.9,1.9
5bb424dd5250feb2601d2ee1b7620c8b.csv,1.9,1.5,1.9,1,1.9,2,1.9,0.7,2,2,1.9
5bba3b1a48ba54e878f026e15b931589.csv,1.9,0.5,2,1.9,1.9,1.8,2,0.7,2,2,2
5bbfab46abd619e1cf8b6034ffc7a03b.csv,2,0.6,2,2,1.9,2,1.9,0.7,1.9,1.9,1.9
5bc9a06fe9244ca4899c97ff9e478ab7.csv,2,1.9,1.9,2,0.6,2,1.9,0.6,2,1.9,2
5bcb86bd85136695f47a6fdfe25d3b0c.csv,2,1.9,2,0.5,1.9,1.9,2,0.7,1.9,1.9,1.9
5bdd742ad1a6d9efafacaa436b55c4d0.csv,1.9,1.9,1.9,2,0.6,2,2,0.7,2,1.9,1.8
5be16a77a7a4d96ac2690b5bcb930e30.csv,2,1.5,1.9,2,1.9,1.9,2,0.6,2,1.9,1.6
5bec5b6ee81358af613f9399694c4ebe.csv,2,1.9,1.9,1.9,1.8,1.9,1.9,0.5,2,1.9,2
5bf862cc187a9a4b231e05c373e6dc01.csv,2,1.9,1.9,2,1,1.9,1.9,0.7,1.9,2,1.9
5c06d2d60a047bd4101554fa5e847180.csv,2,1.9,2,2,0.6,1.9,2,0.5,2,1.9,2
5c16dc32bcaa94fdde518b58d88eadea.csv,2,1.8,2,1.9,1.9,1.8,1.9,1.6,1.9,2,1.9
5c1cb351fda1708c2ed223979cdd1b5c.csv,1.9,1.9,2,1.9,2,1,1.6,0.9,1.9,1.9,1.9
5c1cc128cabfbc19c10da5297c2d2b33.csv,1.9,1.4,1,2,2,1.6,2,0.8,2,2,2
